refcode,output,ccdc_molecule_atoms,full_unit_cell_atoms,inclusion
ABALAS,ABALAS.cif,21,84,UniqueIncluded
ABEGEU,ABEGEU.cif,14,28,UniqueIncluded
ABENEB,ABENEB.cif,16,64,UniqueIncluded
ABEROP,ABEROP.cif,18,72,UniqueIncluded
ABEWAG,ABEWAG.cif,9,72,UniqueIncluded
ABINOS02,ABINOS02.cif,20,80,UniqueIncluded
ABORER01,ABORER01.cif,27,54,UniqueIncluded
ABOVIY03,ABOVIY03.cif,32,64,UniqueIncluded
ABUMIT,ABUMIT.cif,12,48,UniqueIncluded
ACAMOX,ACAMOX.cif,17,34,UniqueIncluded
ACDHAL01,ACDHAL01.cif,16,64,UniqueIncluded
ACENAP03,ACENAP03.cif,44,88,UniqueIncluded
ACETAC07,ACETAC07.cif,8,32,UniqueIncluded
ACETPH,ACETPH.cif,17,68,UniqueIncluded
ACIQUB,ACIQUB.cif,13,52,UniqueIncluded
ACIRAI,ACIRAI.cif,16,32,UniqueIncluded
ACMCPY,ACMCPY.cif,21,42,UniqueIncluded
ACNAQU01,ACNAQU01.cif,20,80,UniqueIncluded
ACSKAT01,ACSKAT01.cif,24,96,UniqueIncluded
ACUWAZ,ACUWAZ.cif,30,60,UniqueIncluded
ACYMPZ,ACYMPZ.cif,16,64,UniqueIncluded
ADADUG,ADADUG.cif,44,88,UniqueIncluded
ADAHET,ADAHET.cif,20,80,UniqueIncluded
ADAMAN08,ADAMAN08.cif,26,52,UniqueIncluded
ADAREE,ADAREE.cif,18,72,UniqueIncluded
ADIGEA,ADIGEA.cif,25,50,UniqueIncluded
ADIVIT,ADIVIT.cif,22,88,UniqueIncluded
ADIVUF,ADIVUF.cif,30,120,UniqueIncluded
ADOXID,ADOXID.cif,17,68,UniqueIncluded
AFAPUT,AFAPUT.cif,20,80,UniqueIncluded
AFEPAD,AFEPAD.cif,24,96,UniqueIncluded
AFEWAK,AFEWAK.cif,18,36,UniqueIncluded
AFIGOO,AFIGOO.cif,9,36,UniqueIncluded
AFIGUS,AFIGUS.cif,19,76,UniqueIncluded
AFIMEJ,AFIMEJ.cif,22,88,UniqueIncluded
AGAKUP,AGAKUP.cif,27,216,UniqueIncluded
AGAKUP01,AGAKUP01.cif,27,108,UniqueIncluded
AGIDOL,AGIDOL.cif,23,46,UniqueIncluded
AHCHEX01,AHCHEX01.cif,18,72,UniqueIncluded
AHEJAZ07,AHEJAZ07.cif,20,80,UniqueIncluded
AHEJAZ08,AHEJAZ08.cif,20,80,UniqueIncluded
AHIVEU,AHIVEU.cif,28,112,UniqueIncluded
AHUGUH,AHUGUH.cif,19,76,UniqueIncluded
AHUHAO,AHUHAO.cif,29,116,UniqueIncluded
AJAQAE,AJAQAE.cif,16,64,UniqueIncluded
AJEVOB,AJEVOB.cif,20,80,UniqueIncluded
AJIVIZ,AJIVIZ.cif,13,52,UniqueIncluded
AJOQUL03,AJOQUL03.cif,18,72,UniqueIncluded
AJOYEF,AJOYEF.cif,23,92,UniqueIncluded
AKEFIH,AKEFIH.cif,23,92,UniqueIncluded
AKEFUT,AKEFUT.cif,34,136,UniqueIncluded
AKETAN,AKETAN.cif,29,232,UniqueIncluded
AKOVOL,AKOVOL.cif,12,48,UniqueIncluded
AKOVOL02,AKOVOL02.cif,24,96,UniqueIncluded
AKOXUV,AKOXUV.cif,19,38,UniqueIncluded
AKOYAA,AKOYAA.cif,25,100,UniqueIncluded
AKOZOR,AKOZOR.cif,30,120,UniqueIncluded
AKUNUQ,AKUNUQ.cif,22,88,UniqueIncluded
AMBACO05,AMBACO05.cif,17,136,UniqueIncluded
AMBACO08,AMBACO08.cif,17,68,UniqueIncluded
AMBNAC12,AMBNAC12.cif,17,68,UniqueIncluded
AMBNAC18,AMBNAC18.cif,17,34,UniqueIncluded
AMCLPY,AMCLPY.cif,13,52,UniqueIncluded
AMCPHO,AMCPHO.cif,15,48,UniqueIncluded
AMIMZD10,AMIMZD10.cif,25,100,UniqueIncluded
AMIMZE10,AMIMZE10.cif,22,88,UniqueIncluded
AMITEW,AMITEW.cif,19,38,UniqueIncluded
AMIXPO,AMIXPO.cif,25,100,UniqueIncluded
AMMEPY01,AMMEPY01.cif,16,64,UniqueIncluded
AMNIFL,AMNIFL.cif,27,108,UniqueIncluded
AMNPHA,AMNPHA.cif,17,68,UniqueIncluded
AMNTPY,AMNTPY.cif,15,60,UniqueIncluded
AMPHOL01,AMPHOL01.cif,15,60,UniqueIncluded
AMPYRE,AMPYRE.cif,13,52,UniqueIncluded
AMPYRM11,AMPYRM11.cif,12,96,UniqueIncluded
AMTHTZ,AMTHTZ.cif,8,32,UniqueIncluded
AMUVEL,AMUVEL.cif,22,176,UniqueIncluded
ANLINT20,ANLINT20.cif,16,64,UniqueIncluded
ANTCEN16,ANTCEN16.cif,24,48,UniqueIncluded
ANTZOL10,ANTZOL10.cif,22,88,UniqueIncluded
APATER,APATER.cif,20,40,UniqueIncluded
APINIY,APINIY.cif,29,58,UniqueIncluded
APMCOX,APMCOX.cif,14,56,UniqueIncluded
APOXOS01,APOXOS01.cif,26,104,UniqueIncluded
APUHOJ,APUHOJ.cif,28,112,UniqueIncluded
APUREK,APUREK.cif,16,64,UniqueIncluded
APYRCX,APYRCX.cif,15,60,UniqueIncluded
AQEZUR,AQEZUR.cif,24,96,UniqueIncluded
AQIGOW,AQIGOW.cif,22,88,UniqueIncluded
AQIGUC,AQIGUC.cif,30,120,UniqueIncluded
AQOTUY,AQOTUY.cif,16,64,UniqueIncluded
AQOZUB01,AQOZUB01.cif,18,36,UniqueIncluded
AQUSEM,AQUSEM.cif,21,168,UniqueIncluded
ARIDUB,ARIDUB.cif,20,80,UniqueIncluded
ASATET,ASATET.cif,16,64,UniqueIncluded
ASIBOT,ASIBOT.cif,27,108,UniqueIncluded
ASOPAB,ASOPAB.cif,29,58,UniqueIncluded
ASUKAB,ASUKAB.cif,23,92,UniqueIncluded
ASUWAN,ASUWAN.cif,16,64,UniqueIncluded
ATCPEN,ATCPEN.cif,14,56,UniqueIncluded
ATCPEN01,ATCPEN01.cif,14,28,UniqueIncluded
ATDZDX,ATDZDX.cif,14,56,UniqueIncluded
ATOMAZ,ATOMAZ.cif,60,60,UniqueIncluded
ATTDAZ02,ATTDAZ02.cif,10,40,UniqueIncluded
AVABII,AVABII.cif,25,100,UniqueIncluded
AVIJEW,AVIJEW.cif,23,46,UniqueIncluded
AWACAE,AWACAE.cif,16,64,UniqueIncluded
AWOBIZ,AWOBIZ.cif,13,52,UniqueIncluded
AWODIB,AWODIB.cif,25,100,UniqueIncluded
AXOREM,AXOREM.cif,18,72,UniqueIncluded
AXORIQ,AXORIQ.cif,15,120,UniqueIncluded
AXOSOW,AXOSOW.cif,8,64,UniqueIncluded
AXUBUR01,AXUBUR01.cif,14,28,UniqueIncluded
AXUDED,AXUDED.cif,18,144,UniqueIncluded
AYAVOM,AYAVOM.cif,21,84,UniqueIncluded
AYOHEB,AYOHEB.cif,18,144,UniqueIncluded
AYOHOL01,AYOHOL01.cif,16,64,UniqueIncluded
AYOHUR,AYOHUR.cif,18,18,UniqueIncluded
AYOJAZ,AYOJAZ.cif,18,72,UniqueIncluded
AYUBUS,AYUBUS.cif,23,46,UniqueIncluded
AYUMUD,AYUMUD.cif,17,34,UniqueIncluded
AYUXAU,AYUXAU.cif,32,128,UniqueIncluded
AYUZAW,AYUZAW.cif,32,128,UniqueIncluded
AZANIB,AZANIB.cif,32,128,UniqueIncluded
AZAZEI,AZAZEI.cif,15,60,UniqueIncluded
AZCFOM01,AZCFOM01.cif,14,28,UniqueIncluded
AZERUU,AZERUU.cif,17,136,UniqueIncluded
AZIBER,AZIBER.cif,14,28,UniqueIncluded
AZPACN,AZPACN.cif,22,44,UniqueIncluded
AZUDIJ,AZUDIJ.cif,24,96,UniqueIncluded
BACJUN,BACJUN.cif,20,40,UniqueIncluded
BADAMN10,BADAMN10.cif,50,50,UniqueIncluded
BAFLEZ,BAFLEZ.cif,19,38,UniqueIncluded
BAFLUR,BAFLUR.cif,22,88,UniqueIncluded
BAGFIY,BAGFIY.cif,16,64,UniqueIncluded
BAGFIY01,BAGFIY01.cif,16,128,UniqueIncluded
BAGRAC,BAGRAC.cif,26,208,UniqueIncluded
BAGYIR,BAGYIR.cif,14,56,UniqueIncluded
BAHCUI,BAHCUI.cif,23,184,UniqueIncluded
BAKQUA,BAKQUA.cif,26,52,UniqueIncluded
BAPBUQ,BAPBUQ.cif,27,108,UniqueIncluded
BAPBUQ03,BAPBUQ03.cif,27,108,UniqueIncluded
BAPOCM10,BAPOCM10.cif,48,48,UniqueIncluded
BAQLUD,BAQLUD.cif,19,76,UniqueIncluded
BARKAH,BARKAH.cif,21,84,UniqueIncluded
BASCON01,BASCON01.cif,28,112,UniqueIncluded
BAWNIW,BAWNIW.cif,14,56,UniqueIncluded
BAWNIW02,BAWNIW02.cif,42,84,UniqueIncluded
BAWVAW,BAWVAW.cif,21,84,UniqueIncluded
BAYJUG,BAYJUG.cif,30,120,UniqueIncluded
BAYXAD,BAYXAD.cif,26,104,UniqueIncluded
BAZOCT,BAZOCT.cif,24,96,UniqueIncluded
BAZPUO,BAZPUO.cif,26,52,UniqueIncluded
BAZSEA,BAZSEA.cif,16,64,UniqueIncluded
BCODYN01,BCODYN01.cif,24,96,UniqueIncluded
BCPROP02,BCPROP02.cif,16,64,UniqueIncluded
BCYOAN10,BCYOAN10.cif,25,92,UniqueIncluded
BEBXOV,BEBXOV.cif,19,76,UniqueIncluded
BEGCOF,BEGCOF.cif,30,120,UniqueIncluded
BEGPEJ,BEGPEJ.cif,24,48,UniqueIncluded
BEGPIN,BEGPIN.cif,24,192,UniqueIncluded
BEJWAR,BEJWAR.cif,19,76,UniqueIncluded
BEKBOI,BEKBOI.cif,16,64,UniqueIncluded
BEKFEF,BEKFEF.cif,16,32,UniqueIncluded
BEKLIP,BEKLIP.cif,25,50,UniqueIncluded
BELBUP02,BELBUP02.cif,14,56,UniqueIncluded
BELBUP03,BELBUP03.cif,14,56,UniqueIncluded
BELBUP04,BELBUP04.cif,14,112,UniqueIncluded
BEMKAI,BEMKAI.cif,16,64,UniqueIncluded
BENAFP,BENAFP.cif,16,64,UniqueIncluded
BENZAC12,BENZAC12.cif,15,60,UniqueIncluded
BENZEN06,BENZEN06.cif,12,48,UniqueIncluded
BERPIX,BERPIX.cif,31,124,UniqueIncluded
BESGEL,BESGEL.cif,23,92,UniqueIncluded
BESKAL04,BESKAL04.cif,17,68,UniqueIncluded
BESPOF,BESPOF.cif,18,72,UniqueIncluded
BETBEH10,BETBEH10.cif,20,80,UniqueIncluded
BETBOR,BETBOR.cif,18,72,UniqueIncluded
BETBUX,BETBUX.cif,18,72,UniqueIncluded
BETMET,BETMET.cif,15,60,UniqueIncluded
BETXOQ,BETXOQ.cif,18,72,UniqueIncluded
BEXHOE,BEXHOE.cif,17,68,UniqueIncluded
BEYDEO01,BEYDEO01.cif,18,72,UniqueIncluded
BEZSAC,BEZSAC.cif,17,68,UniqueIncluded
BEZWIM,BEZWIM.cif,21,84,UniqueIncluded
BIBREL,BIBREL.cif,16,64,UniqueIncluded
BICVIS,BICVIS.cif,18,72,UniqueIncluded
BIGUAN01,BIGUAN01.cif,14,56,UniqueIncluded
BIJVEY,BIJVEY.cif,12,48,UniqueIncluded
BIKCII,BIKCII.cif,24,48,UniqueIncluded
BILHOV,BILHOV.cif,19,38,UniqueIncluded
BIPTID01,BIPTID01.cif,19,76,UniqueIncluded
BIPYRL04,BIPYRL04.cif,20,40,UniqueIncluded
BIRQOL,BIRQOL.cif,34,136,UniqueIncluded
BIRYIM,BIRYIM.cif,24,48,UniqueIncluded
BITVUV,BITVUV.cif,12,48,UniqueIncluded
BIXJAU,BIXJAU.cif,16,64,UniqueIncluded
BIZQEJ,BIZQEJ.cif,31,124,UniqueIncluded
BNORBN11,BNORBN11.cif,36,144,UniqueIncluded
BNZQUI03,BNZQUI03.cif,12,24,UniqueIncluded
BODCOM,BODCOM.cif,18,36,UniqueIncluded
BOMSED,BOMSED.cif,21,84,UniqueIncluded
BONNEA,BONNEA.cif,17,68,UniqueIncluded
BONVOS,BONVOS.cif,20,40,UniqueIncluded
BONWAE,BONWAE.cif,21,84,UniqueIncluded
BOPHUJ,BOPHUJ.cif,18,144,UniqueIncluded
BOQSIJ,BOQSIJ.cif,34,136,UniqueIncluded
BOTYIT,BOTYIT.cif,10,40,UniqueIncluded
BOTZIU,BOTZIU.cif,19,76,UniqueIncluded
BOTZOA,BOTZOA.cif,18,72,UniqueIncluded
BOXQEK,BOXQEK.cif,31,124,UniqueIncluded
BOXRUE,BOXRUE.cif,25,200,UniqueIncluded
BOZFEC,BOZFEC.cif,26,104,UniqueIncluded
BOZGED,BOZGED.cif,17,68,UniqueIncluded
BUCNEU,BUCNEU.cif,25,50,UniqueIncluded
BUDYEF,BUDYEF.cif,22,88,UniqueIncluded
BUPQAE01,BUPQAE01.cif,16,64,UniqueIncluded
BUPXOC,BUPXOC.cif,15,60,UniqueIncluded
BURXAN,BURXAN.cif,24,96,UniqueIncluded
BUTFUT,BUTFUT.cif,25,100,UniqueIncluded
BUTSUL10,BUTSUL10.cif,15,56,UniqueIncluded
BZDMAZ02,BZDMAZ02.cif,15,60,UniqueIncluded
BZOXZT,BZOXZT.cif,15,30,UniqueIncluded
BZPHAN01,BZPHAN01.cif,30,120,UniqueIncluded
BZTIEP,BZTIEP.cif,21,84,UniqueIncluded
BZTZAD,BZTZAD.cif,20,80,UniqueIncluded
CABPYR11,CABPYR11.cif,15,60,UniqueIncluded
CABYAG,CABYAG.cif,17,68,UniqueIncluded
CACDOA,CACDOA.cif,20,80,UniqueIncluded
CACTAD,CACTAD.cif,29,116,UniqueIncluded
CAFKEZ,CAFKEZ.cif,26,104,UniqueIncluded
CAFVAG,CAFVAG.cif,16,64,UniqueIncluded
CAGJEC01,CAGJEC01.cif,14,56,UniqueIncluded
CAJWUG02,CAJWUG02.cif,16,64,UniqueIncluded
CAMPQU03,CAMPQU03.cif,26,104,UniqueIncluded
CANAPQ01,CANAPQ01.cif,20,160,UniqueIncluded
CANNUA,CANNUA.cif,17,34,UniqueIncluded
CANRAM,CANRAM.cif,30,60,UniqueIncluded
CANVAP,CANVAP.cif,25,100,UniqueIncluded
CAPMSU,CAPMSU.cif,20,80,UniqueIncluded
CASHOT03,CASHOT03.cif,11,22,UniqueIncluded
CATXEC,CATXEC.cif,23,46,UniqueIncluded
CAXNUL01,CAXNUL01.cif,18,72,UniqueIncluded
CAXPAT,CAXPAT.cif,17,34,UniqueIncluded
CAXPUN,CAXPUN.cif,17,34,UniqueIncluded
CBITAZ,CBITAZ.cif,14,56,UniqueIncluded
CDCDOX,CDCDOX.cif,14,56,UniqueIncluded
CEBBIX,CEBBIX.cif,18,36,UniqueIncluded
CEBDES,CEBDES.cif,13,52,UniqueIncluded
CEBZIU,CEBZIU.cif,30,120,UniqueIncluded
CECMOM,CECMOM.cif,16,32,UniqueIncluded
CEFMUX,CEFMUX.cif,22,88,UniqueIncluded
CEGPOV,CEGPOV.cif,20,80,UniqueIncluded
CEHQEM,CEHQEM.cif,12,24,UniqueIncluded
CEJMAF,CEJMAF.cif,16,64,UniqueIncluded
CEKGUU01,CEKGUU01.cif,13,26,UniqueIncluded
CELDUS,CELDUS.cif,30,120,UniqueIncluded
CETLAQ,CETLAQ.cif,16,64,UniqueIncluded
CEXVAF,CEXVAF.cif,22,88,UniqueIncluded
CHPDTP,CHPDTP.cif,20,80,UniqueIncluded
CHPYRD,CHPYRD.cif,12,48,UniqueIncluded
CHTDZO,CHTDZO.cif,14,56,UniqueIncluded
CHXIQL,CHXIQL.cif,18,72,UniqueIncluded
CICVEQ,CICVEQ.cif,21,84,UniqueIncluded
CIGYIA,CIGYIA.cif,10,80,UniqueIncluded
CIJNEO,CIJNEO.cif,31,62,UniqueIncluded
CIKBOO,CIKBOO.cif,34,136,UniqueIncluded
CIKBUU,CIKBUU.cif,72,72,UniqueIncluded
CIMHUB,CIMHUB.cif,38,76,UniqueIncluded
CIPWOO,CIPWOO.cif,19,38,UniqueIncluded
CIPZIL,CIPZIL.cif,18,36,UniqueIncluded
CIRXAF,CIRXAF.cif,24,96,UniqueIncluded
CIWBAL10,CIWBAL10.cif,15,60,UniqueIncluded
CIYNED01,CIYNED01.cif,20,80,UniqueIncluded
CLACET02,CLACET02.cif,8,32,UniqueIncluded
CLANAC11,CLANAC11.cif,14,28,UniqueIncluded
CLAZBZ02,CLAZBZ02.cif,24,48,UniqueIncluded
CLBECN03,CLBECN03.cif,13,52,UniqueIncluded
CLBENQ,CLBENQ.cif,12,48,UniqueIncluded
CLBZAC01,CLBZAC01.cif,15,120,UniqueIncluded
CLCROT10,CLCROT10.cif,12,36,UniqueIncluded
CLFORM03,CLFORM03.cif,5,20,UniqueIncluded
CLFULV01,CLFULV01.cif,18,72,UniqueIncluded
CLMETH03,CLMETH03.cif,5,20,UniqueIncluded
CLPSUL02,CLPSUL02.cif,25,100,UniqueIncluded
CLTRZL,CLTRZL.cif,8,32,UniqueIncluded
COBFUU,COBFUU.cif,21,42,UniqueIncluded
COHSAV,COHSAV.cif,24,96,UniqueIncluded
COLGAO,COLGAO.cif,25,50,UniqueIncluded
COMFRN,COMFRN.cif,17,68,UniqueIncluded
CONFAM,CONFAM.cif,10,40,UniqueIncluded
CONVIL01,CONVIL01.cif,15,60,UniqueIncluded
CORDUI,CORDUI.cif,11,22,UniqueIncluded
CORYOZ,CORYOZ.cif,16,64,UniqueIncluded
CORZIT,CORZIT.cif,22,44,UniqueIncluded
COSNAZ,COSNAZ.cif,22,88,UniqueIncluded
COTFEX,COTFEX.cif,26,52,UniqueIncluded
COUMAR01,COUMAR01.cif,17,68,UniqueIncluded
COUMAR13,COUMAR13.cif,17,34,UniqueIncluded
COUMAR14,COUMAR14.cif,34,136,UniqueIncluded
COVJIG,COVJIG.cif,15,60,UniqueIncluded
COWTIT,COWTIT.cif,21,84,UniqueIncluded
COXGAX,COXGAX.cif,20,80,UniqueIncluded
COXKAE,COXKAE.cif,34,272,UniqueIncluded
COZXAT,COZXAT.cif,28,56,UniqueIncluded
CRYSEN,CRYSEN.cif,30,120,UniqueIncluded
CTCDEC,CTCDEC.cif,25,100,UniqueIncluded
CTHDZO,CTHDZO.cif,9,36,UniqueIncluded
CTHETO,CTHETO.cif,12,48,UniqueIncluded
CUBANE,CUBANE.cif,16,16,UniqueIncluded
CUBTEB,CUBTEB.cif,29,232,UniqueIncluded
CUGCUF,CUGCUF.cif,30,120,UniqueIncluded
CUKCIU03,CUKCIU03.cif,14,28,UniqueIncluded
CUVWEV,CUVWEV.cif,19,76,UniqueIncluded
CUXXAW,CUXXAW.cif,26,104,UniqueIncluded
CUZXOK,CUZXOK.cif,20,80,UniqueIncluded
CYACAC02,CYACAC02.cif,9,36,UniqueIncluded
CYCYPR,CYCYPR.cif,12,72,UniqueIncluded
CYHEXO,CYHEXO.cif,16,32,UniqueIncluded
CYTCOD10,CYTCOD10.cif,17,68,UniqueIncluded
DACXIQ,DACXIQ.cif,30,120,UniqueIncluded
DAHXAO,DAHXAO.cif,28,112,UniqueIncluded
DAMTRZ11,DAMTRZ11.cif,12,48,UniqueIncluded
DAQNEP,DAQNEP.cif,20,80,UniqueIncluded
DASKAK01,DASKAK01.cif,25,100,UniqueIncluded
DASWOM,DASWOM.cif,23,46,UniqueIncluded
DATLAN,DATLAN.cif,11,22,UniqueIncluded
DATLER,DATLER.cif,11,22,UniqueIncluded
DAYFIV,DAYFIV.cif,13,52,UniqueIncluded
DAZNAP,DAZNAP.cif,16,128,UniqueIncluded
DAZNAQ,DAZNAQ.cif,16,64,UniqueIncluded
DAZNAR,DAZNAR.cif,16,128,UniqueIncluded
DBTHPS04,DBTHPS04.cif,23,92,UniqueIncluded
DCDHNQ,DCDHNQ.cif,20,80,UniqueIncluded
DCDHNQ01,DCDHNQ01.cif,20,80,UniqueIncluded
DCLANT10,DCLANT10.cif,24,96,UniqueIncluded
DCLBQN,DCLBQN.cif,12,48,UniqueIncluded
DCLETH02,DCLETH02.cif,8,16,UniqueIncluded
DCPYAZ,DCPYAZ.cif,10,40,UniqueIncluded
DECPYR10,DECPYR10.cif,26,104,UniqueIncluded
DECZEQ,DECZEQ.cif,21,84,UniqueIncluded
DEGWAQ,DEGWAQ.cif,22,88,UniqueIncluded
DERBEH,DERBEH.cif,16,64,UniqueIncluded
DEWYOV,DEWYOV.cif,28,224,UniqueIncluded
DEXBEN01,DEXBEN01.cif,26,52,UniqueIncluded
DFNAPQ,DFNAPQ.cif,18,36,UniqueIncluded
DFPSLO,DFPSLO.cif,25,100,UniqueIncluded
DIMNAP,DIMNAP.cif,24,96,UniqueIncluded
DIMYON10,DIMYON10.cif,13,26,UniqueIncluded
DIRMIA,DIRMIA.cif,11,22,UniqueIncluded
DITFIX,DITFIX.cif,38,152,UniqueIncluded
DITHAN02,DITHAN02.cif,14,28,UniqueIncluded
DIZVOZ,DIZVOZ.cif,18,36,UniqueIncluded
DMCTDZ,DMCTDZ.cif,9,36,UniqueIncluded
DMDZCD,DMDZCD.cif,32,64,UniqueIncluded
DMEGLY01,DMEGLY01.cif,16,16,UniqueIncluded
DMETSO,DMETSO.cif,10,40,UniqueIncluded
DMETSO05,DMETSO05.cif,10,20,UniqueIncluded
DMITDZ,DMITDZ.cif,17,68,UniqueIncluded
DMSULO04,DMSULO04.cif,11,44,UniqueIncluded
DNBENZ11,DNBENZ11.cif,16,64,UniqueIncluded
DOHGOW,DOHGOW.cif,12,48,UniqueIncluded
DOJFAL,DOJFAL.cif,20,80,UniqueIncluded
DOKVIJ,DOKVIJ.cif,20,80,UniqueIncluded
DOKWUW,DOKWUW.cif,16,64,UniqueIncluded
DOQQEH,DOQQEH.cif,14,112,UniqueIncluded
DOSZUG,DOSZUG.cif,15,60,UniqueIncluded
DOXDIS10,DOXDIS10.cif,8,32,UniqueIncluded
DOXJAD,DOXJAD.cif,20,80,UniqueIncluded
DSCARA01,DSCARA01.cif,14,28,UniqueIncluded
DTENYL02,DTENYL02.cif,16,32,UniqueIncluded
DUBPUO,DUBPUO.cif,32,128,UniqueIncluded
DUCSUQ,DUCSUQ.cif,11,44,UniqueIncluded
DUCTAZ,DUCTAZ.cif,23,92,UniqueIncluded
DUJGIZ,DUJGIZ.cif,14,56,UniqueIncluded
