refcode,output,ccdc_molecule_atoms,full_unit_cell_atoms,inclusion
DUJHEV,DUJHEV.cif,18,72,UniqueIncluded
DUJQEF,DUJQEF.cif,11,44,UniqueIncluded
DUTREQ,DUTREQ.cif,15,60,UniqueIncluded
DUTZEY,DUTZEY.cif,13,26,UniqueIncluded
EDOMUI,EDOMUI.cif,21,42,UniqueIncluded
EGIRUJ,EGIRUJ.cif,22,88,UniqueIncluded
ELOBOW,ELOBOW.cif,28,112,UniqueIncluded
ELULIH,ELULIH.cif,22,176,UniqueIncluded
EPAHEJ,EPAHEJ.cif,14,56,UniqueIncluded
EQIREE,EQIREE.cif,23,92,UniqueIncluded
EREFEP,EREFEP.cif,12,48,UniqueIncluded
ETIFAP,ETIFAP.cif,52,104,UniqueIncluded
EVIGIZ,EVIGIZ.cif,19,76,UniqueIncluded
EVOQEL,EVOQEL.cif,15,60,UniqueIncluded
EWAZEK,EWAZEK.cif,17,34,UniqueIncluded
EWUZAZ,EWUZAZ.cif,13,52,UniqueIncluded
EXIQOS,EXIQOS.cif,14,56,UniqueIncluded
EYAVEF,EYAVEF.cif,26,104,UniqueIncluded
FABPON11,FABPON11.cif,18,144,UniqueIncluded
FACETC01,FACETC01.cif,8,32,UniqueIncluded
FACFOE,FACFOE.cif,12,48,UniqueIncluded
FADBEU,FADBEU.cif,25,100,UniqueIncluded
FANJOT,FANJOT.cif,16,64,UniqueIncluded
FANJOT01,FANJOT01.cif,16,64,UniqueIncluded
FARMIW,FARMIW.cif,15,60,UniqueIncluded
FAVTAX,FAVTAX.cif,22,88,UniqueIncluded
FBUOFB,FBUOFB.cif,10,20,UniqueIncluded
FEBROU,FEBROU.cif,27,108,UniqueIncluded
FEDKIJ,FEDKIJ.cif,19,76,UniqueIncluded
FELPIV,FELPIV.cif,10,40,UniqueIncluded
FEMKUD,FEMKUD.cif,19,76,UniqueIncluded
FEQYAC,FEQYAC.cif,19,38,UniqueIncluded
FERFOZ,FERFOZ.cif,14,28,UniqueIncluded
FICFON,FICFON.cif,24,192,UniqueIncluded
FIQTIJ,FIQTIJ.cif,19,76,UniqueIncluded
FIRLAU,FIRLAU.cif,10,80,UniqueIncluded
FITZEO01,FITZEO01.cif,26,104,UniqueIncluded
FIWFOH01,FIWFOH01.cif,19,76,UniqueIncluded
FLUANA,FLUANA.cif,14,28,UniqueIncluded
FOCJOZ,FOCJOZ.cif,25,50,UniqueIncluded
FOHXUV,FOHXUV.cif,10,40,UniqueIncluded
FOMWAF,FOMWAF.cif,13,52,UniqueIncluded
FOQJIH,FOQJIH.cif,27,108,UniqueIncluded
FORAMO01,FORAMO01.cif,8,32,UniqueIncluded
FORMAC02,FORMAC02.cif,5,20,UniqueIncluded
FORROU,FORROU.cif,14,56,UniqueIncluded
FOXWEW,FOXWEW.cif,23,92,UniqueIncluded
FUDTUV,FUDTUV.cif,21,84,UniqueIncluded
FULPIM,FULPIM.cif,12,48,UniqueIncluded
FUMRAM01,FUMRAM01.cif,13,26,UniqueIncluded
FUNFEA,FUNFEA.cif,17,68,UniqueIncluded
FURANE10,FURANE10.cif,9,36,UniqueIncluded
FURDCB01,FURDCB01.cif,15,60,UniqueIncluded
FUZNAQ,FUZNAQ.cif,17,68,UniqueIncluded
FUZZAB,FUZZAB.cif,16,64,UniqueIncluded
GADHAU,GADHAU.cif,9,36,UniqueIncluded
GANBEF,GANBEF.cif,23,184,UniqueIncluded
GAPPIY,GAPPIY.cif,12,48,UniqueIncluded
GAXKAU,GAXKAU.cif,26,52,UniqueIncluded
GEHSIW,GEHSIW.cif,19,76,UniqueIncluded
GEMRIB,GEMRIB.cif,22,176,UniqueIncluded
GETVEH,GETVEH.cif,11,44,UniqueIncluded
GEYSEI,GEYSEI.cif,18,72,UniqueIncluded
GIJBUX,GIJBUX.cif,19,76,UniqueIncluded
GIKSUQ,GIKSUQ.cif,20,80,UniqueIncluded
GISXEM,GISXEM.cif,16,64,UniqueIncluded
GISZIS,GISZIS.cif,15,60,UniqueIncluded
GOCPEW,GOCPEW.cif,24,96,UniqueIncluded
GOFQEY,GOFQEY.cif,12,48,UniqueIncluded
GOLCOB,GOLCOB.cif,19,76,UniqueIncluded
GOLYAI,GOLYAI.cif,16,64,UniqueIncluded
GOMCIU,GOMCIU.cif,19,76,UniqueIncluded
GOQJUU,GOQJUU.cif,20,80,UniqueIncluded
GOSJEG,GOSJEG.cif,22,88,UniqueIncluded
GOTJUW,GOTJUW.cif,15,60,UniqueIncluded
GOWPUG,GOWPUG.cif,26,104,UniqueIncluded
GOZXIF,GOZXIF.cif,18,72,UniqueIncluded
GUFJAS,GUFJAS.cif,13,52,UniqueIncluded
GUFJIA,GUFJIA.cif,18,36,UniqueIncluded
GUFMAV,GUFMAV.cif,14,28,UniqueIncluded
GUJLAZ,GUJLAZ.cif,15,60,UniqueIncluded
GUJZER,GUJZER.cif,17,68,UniqueIncluded
GULDIB,GULDIB.cif,30,120,UniqueIncluded
GUMFUS,GUMFUS.cif,36,72,UniqueIncluded
GUNYIY,GUNYIY.cif,25,100,UniqueIncluded
GUZKAQ,GUZKAQ.cif,20,80,UniqueIncluded
HABVIQ,HABVIQ.cif,27,108,UniqueIncluded
HACMUT,HACMUT.cif,14,56,UniqueIncluded
HAKPIW,HAKPIW.cif,25,100,UniqueIncluded
HCCYHD,HCCYHD.cif,18,72,UniqueIncluded
HCCYHG02,HCCYHG02.cif,18,72,UniqueIncluded
HCLBNZ13,HCLBNZ13.cif,12,24,UniqueIncluded
HCLTRL,HCLTRL.cif,22,44,UniqueIncluded
HCZCHP,HCZCHP.cif,16,64,UniqueIncluded
HESDUE,HESDUE.cif,40,80,UniqueIncluded
HESTUV,HESTUV.cif,21,84,UniqueIncluded
HEVZAL,HEVZAL.cif,25,50,UniqueIncluded
HEXANE01,HEXANE01.cif,20,20,UniqueIncluded
HIFCIJ,HIFCIJ.cif,20,160,UniqueIncluded
HIGKOY,HIGKOY.cif,15,60,UniqueIncluded
HIHNIV,HIHNIV.cif,15,60,UniqueIncluded
HIHNIV01,HIHNIV01.cif,15,60,UniqueIncluded
HIMRIH,HIMRIH.cif,10,40,UniqueIncluded
HOFHEQ,HOFHEQ.cif,14,56,UniqueIncluded
HOJZUB,HOJZUB.cif,14,56,UniqueIncluded
HOLTOS,HOLTOS.cif,15,60,UniqueIncluded
HOMSAN,HOMSAN.cif,21,84,UniqueIncluded
HTDZDX10,HTDZDX10.cif,15,60,UniqueIncluded
HTIEPO,HTIEPO.cif,17,68,UniqueIncluded
HUCDIU,HUCDIU.cif,14,28,UniqueIncluded
HUGQOQ,HUGQOQ.cif,14,56,UniqueIncluded
HXMTAM10,HXMTAM10.cif,22,44,UniqueIncluded
HXQUIN14,HXQUIN14.cif,18,72,UniqueIncluded
HYTHIO,HYTHIO.cif,13,52,UniqueIncluded
IBUZIP,IBUZIP.cif,22,88,UniqueIncluded
IDAHUR,IDAHUR.cif,14,56,UniqueIncluded
IFESUH,IFESUH.cif,16,64,UniqueIncluded
IFETAO,IFETAO.cif,16,64,UniqueIncluded
IFETES,IFETES.cif,16,64,UniqueIncluded
IFEVAQ,IFEVAQ.cif,23,92,UniqueIncluded
IFOVOR,IFOVOR.cif,20,80,UniqueIncluded
IFUWIR,IFUWIR.cif,10,40,UniqueIncluded
IGAJIK,IGAJIK.cif,25,100,UniqueIncluded
IGAMEK,IGAMEK.cif,13,26,UniqueIncluded
IGINUI,IGINUI.cif,19,76,UniqueIncluded
IHERES,IHERES.cif,5,10,UniqueIncluded
IHULUS,IHULUS.cif,19,76,UniqueIncluded
IJEPEU,IJEPEU.cif,29,116,UniqueIncluded
IJESIC,IJESIC.cif,12,48,UniqueIncluded
IJIYAD,IJIYAD.cif,27,108,UniqueIncluded
IKAYEZ,IKAYEZ.cif,15,60,UniqueIncluded
IKESIC,IKESIC.cif,16,64,UniqueIncluded
IKIGEO,IKIGEO.cif,15,60,UniqueIncluded
ILAMOZ,ILAMOZ.cif,14,56,UniqueIncluded
ILAMUF,ILAMUF.cif,14,56,UniqueIncluded
ILANAM,ILANAM.cif,14,28,UniqueIncluded
IMAZOL06,IMAZOL06.cif,9,36,UniqueIncluded
INIGEU,INIGEU.cif,16,64,UniqueIncluded
IPAPEV,IPAPEV.cif,18,72,UniqueIncluded
IPRNSO01,IPRNSO01.cif,16,32,UniqueIncluded
IPUNEN,IPUNEN.cif,12,48,UniqueIncluded
IPUVIA,IPUVIA.cif,15,30,UniqueIncluded
ISNICA02,ISNICA02.cif,14,28,UniqueIncluded
ITOBAU,ITOBAU.cif,17,68,UniqueIncluded
IYIXUJ,IYIXUJ.cif,23,92,UniqueIncluded
IYIYAQ,IYIYAQ.cif,20,80,UniqueIncluded
JARDIQ,JARDIQ.cif,11,44,UniqueIncluded
JEFTEU,JEFTEU.cif,18,72,UniqueIncluded
JEGTUN,JEGTUN.cif,18,72,UniqueIncluded
JEHYIF,JEHYIF.cif,12,24,UniqueIncluded
JEVVEM,JEVVEM.cif,16,64,UniqueIncluded
JEWBAP,JEWBAP.cif,23,92,UniqueIncluded
JIHNOG,JIHNOG.cif,17,68,UniqueIncluded
JIWWUK,JIWWUK.cif,15,60,UniqueIncluded
JIYYAT,JIYYAT.cif,21,84,UniqueIncluded
JOSLOU,JOSLOU.cif,25,50,UniqueIncluded
JUBBIR,JUBBIR.cif,24,96,UniqueIncluded
JUJPEL,JUJPEL.cif,13,104,UniqueIncluded
KABJED,KABJED.cif,19,76,UniqueIncluded
KADCIC,KADCIC.cif,23,92,UniqueIncluded
KIMNAV,KIMNAV.cif,11,44,UniqueIncluded
KONJIG,KONJIG.cif,17,68,UniqueIncluded
KONJUS,KONJUS.cif,17,68,UniqueIncluded
KONKAZ,KONKAZ.cif,17,68,UniqueIncluded
KOZXIJ,KOZXIJ.cif,34,136,UniqueIncluded
KUFVAI03,KUFVAI03.cif,20,80,UniqueIncluded
KUGKIJ,KUGKIJ.cif,36,144,UniqueIncluded
KUSJAL,KUSJAL.cif,14,112,UniqueIncluded
KUSQOG,KUSQOG.cif,20,160,UniqueIncluded
KUXPUP,KUXPUP.cif,15,60,UniqueIncluded
KUXPUP01,KUXPUP01.cif,15,60,UniqueIncluded
LAPLAR01,LAPLAR01.cif,16,64,UniqueIncluded
LEJDAH,LEJDAH.cif,22,88,UniqueIncluded
LEJDEL,LEJDEL.cif,22,88,UniqueIncluded
LELVIK,LELVIK.cif,18,144,UniqueIncluded
LEVMUU,LEVMUU.cif,15,60,UniqueIncluded
LIDGAH,LIDGAH.cif,18,54,UniqueIncluded
LIDGEL,LIDGEL.cif,18,54,UniqueIncluded
LINRUV,LINRUV.cif,24,48,UniqueIncluded
LIQJUS,LIQJUS.cif,15,60,UniqueIncluded
LIQWEN,LIQWEN.cif,12,48,UniqueIncluded
LIWFUT,LIWFUT.cif,19,76,UniqueIncluded
LOJCOD,LOJCOD.cif,24,96,UniqueIncluded
LOMWOZ,LOMWOZ.cif,19,76,UniqueIncluded
LOTFAE,LOTFAE.cif,25,200,UniqueIncluded
LUZXUA,LUZXUA.cif,28,56,UniqueIncluded
MAJJOX,MAJJOX.cif,17,34,UniqueIncluded
MAKQIZ,MAKQIZ.cif,24,48,UniqueIncluded
MALEHY01,MALEHY01.cif,12,48,UniqueIncluded
MALEHY11,MALEHY11.cif,12,24,UniqueIncluded
MALEHY14,MALEHY14.cif,12,48,UniqueIncluded
MALIAC12,MALIAC12.cif,12,48,UniqueIncluded
MALIAC13,MALIAC13.cif,12,24,UniqueIncluded
MCBENZ,MCBENZ.cif,12,96,UniqueIncluded
MECHLF12,MECHLF12.cif,8,32,UniqueIncluded
MEKMOF,MEKMOF.cif,20,80,UniqueIncluded
MELAMI06,MELAMI06.cif,15,60,UniqueIncluded
METHOL04,METHOL04.cif,6,24,UniqueIncluded
MEWZIZ,MEWZIZ.cif,12,96,UniqueIncluded
MEYCEY,MEYCEY.cif,21,42,UniqueIncluded
MEYCIC,MEYCIC.cif,11,88,UniqueIncluded
MEYNAF,MEYNAF.cif,16,32,UniqueIncluded
MIFSID,MIFSID.cif,22,88,UniqueIncluded
MINSUZ01,MINSUZ01.cif,14,28,UniqueIncluded
MOCVEF,MOCVEF.cif,20,80,UniqueIncluded
MONPEM,MONPEM.cif,14,56,UniqueIncluded
MOVJAL,MOVJAL.cif,20,80,UniqueIncluded
MOWDAG,MOWDAG.cif,24,96,UniqueIncluded
MOWDIO,MOWDIO.cif,22,44,UniqueIncluded
MPYDCY,MPYDCY.cif,15,28,UniqueIncluded
MUCHUP,MUCHUP.cif,13,52,UniqueIncluded
MUMSET,MUMSET.cif,11,44,UniqueIncluded
NAFCUV,NAFCUV.cif,12,96,UniqueIncluded
NAFDAC,NAFDAC.cif,12,48,UniqueIncluded
NAPHTA31,NAPHTA31.cif,18,36,UniqueIncluded
NAPOAC01,NAPOAC01.cif,21,84,UniqueIncluded
NAPTYR11,NAPTYR11.cif,16,64,UniqueIncluded
NEFMIW,NEFMIW.cif,21,84,UniqueIncluded
NIFKIW,NIFKIW.cif,13,52,UniqueIncluded
NMALAM01,NMALAM01.cif,15,60,UniqueIncluded
NOCMEX,NOCMEX.cif,21,84,UniqueIncluded
NOSNOY,NOSNOY.cif,25,100,UniqueIncluded
NOTYAZ,NOTYAZ.cif,23,92,UniqueIncluded
NOVSUP,NOVSUP.cif,33,66,UniqueIncluded
NPDTOL02,NPDTOL02.cif,60,120,UniqueIncluded
NUQGUD,NUQGUD.cif,19,76,UniqueIncluded
OCAPUE,OCAPUE.cif,11,44,UniqueIncluded
OCTANE10,OCTANE10.cif,26,26,UniqueIncluded
ODUSEM,ODUSEM.cif,18,72,UniqueIncluded
OLUCUT,OLUCUT.cif,15,60,UniqueIncluded
OPAJIA,OPAJIA.cif,24,96,UniqueIncluded
OVUKAS,OVUKAS.cif,27,108,UniqueIncluded
PADQAN,PADQAN.cif,9,18,UniqueIncluded
PAHPEV,PAHPEV.cif,24,48,UniqueIncluded
PAWZAQ,PAWZAQ.cif,24,96,UniqueIncluded
PECBII,PECBII.cif,18,72,UniqueIncluded
PENTAN01,PENTAN01.cif,17,68,UniqueIncluded
PERLEN06,PERLEN06.cif,32,64,UniqueIncluded
PFBZAC,PFBZAC.cif,15,30,UniqueIncluded
PHENAN08,PHENAN08.cif,24,48,UniqueIncluded
PHENAZ04,PHENAZ04.cif,22,44,UniqueIncluded
PHESAZ08,PHESAZ08.cif,23,92,UniqueIncluded
PIRPEL,PIRPEL.cif,18,72,UniqueIncluded
PIWXEY,PIWXEY.cif,22,44,UniqueIncluded
PNCLBZ,PNCLBZ.cif,12,48,UniqueIncluded
POTLEP,POTLEP.cif,16,64,UniqueIncluded
POZYUB02,POZYUB02.cif,19,76,UniqueIncluded
POZYUB04,POZYUB04.cif,19,76,UniqueIncluded
PRMDIN01,PRMDIN01.cif,10,40,UniqueIncluded
PTOXEC,PTOXEC.cif,20,80,UniqueIncluded
PUHBIG,PUHBIG.cif,40,160,UniqueIncluded
PURINE,PURINE.cif,13,52,UniqueIncluded
PYRAZI01,PYRAZI01.cif,10,20,UniqueIncluded
PYRDNA07,PYRDNA07.cif,11,44,UniqueIncluded
PYRENE03,PYRENE03.cif,26,104,UniqueIncluded
QEKXOT,QEKXOT.cif,10,40,UniqueIncluded
QEKXUZ,QEKXUZ.cif,13,52,UniqueIncluded
QEKYAG,QEKYAG.cif,16,16,UniqueIncluded
QEKYEK,QEKYEK.cif,19,38,UniqueIncluded
QIBRAU,QIBRAU.cif,25,100,UniqueIncluded
QICVAZ01,QICVAZ01.cif,22,88,UniqueIncluded
QOFGAV,QOFGAV.cif,27,108,UniqueIncluded
QORPAR,QORPAR.cif,18,72,UniqueIncluded
QOTDEL,QOTDEL.cif,23,92,UniqueIncluded
QUCGAZ,QUCGAZ.cif,24,96,UniqueIncluded
QUZTAH,QUZTAH.cif,22,44,UniqueIncluded
RAGPEX,RAGPEX.cif,17,136,UniqueIncluded
RAGPEX01,RAGPEX01.cif,17,68,UniqueIncluded
RAGQIC,RAGQIC.cif,19,152,UniqueIncluded
REZBIJ,REZBIJ.cif,18,72,UniqueIncluded
REZDUY,REZDUY.cif,15,60,UniqueIncluded
RIQKAE,RIQKAE.cif,22,88,UniqueIncluded
RIVDOQ,RIVDOQ.cif,8,32,UniqueIncluded
RONVAR01,RONVAR01.cif,16,64,UniqueIncluded
RONVEV,RONVEV.cif,16,64,UniqueIncluded
SAFGIP,SAFGIP.cif,14,28,UniqueIncluded
SALMID04,SALMID04.cif,17,136,UniqueIncluded
SALMID07,SALMID07.cif,17,68,UniqueIncluded
SAZZUO,SAZZUO.cif,12,48,UniqueIncluded
SEPNUX,SEPNUX.cif,15,60,UniqueIncluded
SOBPAB,SOBPAB.cif,24,96,UniqueIncluded
SUCACB03,SUCACB03.cif,14,28,UniqueIncluded
SUCANH12,SUCANH12.cif,11,44,UniqueIncluded
SUDYOI,SUDYOI.cif,22,88,UniqueIncluded
SUFKUC,SUFKUC.cif,24,96,UniqueIncluded
SUGRUK,SUGRUK.cif,27,108,UniqueIncluded
TADCOU,TADCOU.cif,19,76,UniqueIncluded
TANTOX03,TANTOX03.cif,24,96,UniqueIncluded
TAVMAH,TAVMAH.cif,23,46,UniqueIncluded
TCCYHX10,TCCYHX10.cif,18,144,UniqueIncluded
TCHLBZ,TCHLBZ.cif,12,48,UniqueIncluded
TCYCPR01,TCYCPR01.cif,13,52,UniqueIncluded
TCYETY,TCYETY.cif,10,20,UniqueIncluded
TCYETY01,TCYETY01.cif,10,60,UniqueIncluded
TECFIQ,TECFIQ.cif,18,36,UniqueIncluded
TELPIJ,TELPIJ.cif,11,44,UniqueIncluded
TELXAJ,TELXAJ.cif,12,96,UniqueIncluded
TETDAM03,TETDAM03.cif,20,40,UniqueIncluded
THBZPS10,THBZPS10.cif,24,96,UniqueIncluded
THIANT05,THIANT05.cif,22,88,UniqueIncluded
THIEPO10,THIEPO10.cif,15,60,UniqueIncluded
THPYDO,THPYDO.cif,14,56,UniqueIncluded
THTOXB,THTOXB.cif,12,24,UniqueIncluded
THTOXC,THTOXC.cif,12,12,UniqueIncluded
TOPTEZ,TOPTEZ.cif,23,92,UniqueIncluded
TOVDIU,TOVDIU.cif,29,232,UniqueIncluded
TOXANO,TOXANO.cif,24,96,UniqueIncluded
TOXDTH12,TOXDTH12.cif,12,24,UniqueIncluded
TOXOCN,TOXOCN.cif,16,64,UniqueIncluded
TPENAC02,TPENAC02.cif,12,48,UniqueIncluded
TRAZOL03,TRAZOL03.cif,8,64,UniqueIncluded
TRIPHE13,TRIPHE13.cif,30,120,UniqueIncluded
TRITAN03,TRITAN03.cif,12,48,UniqueIncluded
TRIZIN01,TRIZIN01.cif,9,54,UniqueIncluded
TROXAN,TROXAN.cif,12,72,UniqueIncluded
UDUXEY,UDUXEY.cif,12,48,UniqueIncluded
UKUNAR,UKUNAR.cif,28,112,UniqueIncluded
UMIQEO,UMIQEO.cif,16,32,UniqueIncluded
USUMOL,USUMOL.cif,17,68,UniqueIncluded
UTODOX,UTODOX.cif,20,80,UniqueIncluded
VAFFUF,VAFFUF.cif,26,104,UniqueIncluded
VALVAG,VALVAG.cif,20,80,UniqueIncluded
VAZGIM,VAZGIM.cif,14,28,UniqueIncluded
VEHCET,VEHCET.cif,18,72,UniqueIncluded
VEPXOG,VEPXOG.cif,13,52,UniqueIncluded
VINSAN,VINSAN.cif,16,64,UniqueIncluded
VINWUM,VINWUM.cif,16,64,UniqueIncluded
VINXAT,VINXAT.cif,19,76,UniqueIncluded
VINXEX,VINXEX.cif,19,38,UniqueIncluded
VORKUJ,VORKUJ.cif,18,36,UniqueIncluded
VUCJAH,VUCJAH.cif,23,92,UniqueIncluded
VUTWAL,VUTWAL.cif,21,84,UniqueIncluded
WERNUF01,WERNUF01.cif,17,68,UniqueIncluded
WESBEB,WESBEB.cif,19,76,UniqueIncluded
WESBEB01,WESBEB01.cif,19,76,UniqueIncluded
WIXKOF,WIXKOF.cif,15,60,UniqueIncluded
WOPCEM,WOPCEM.cif,18,72,UniqueIncluded
WULPEZ,WULPEZ.cif,25,100,UniqueIncluded
WULPID,WULPID.cif,22,88,UniqueIncluded
XAFVEH,XAFVEH.cif,16,64,UniqueIncluded
XAGWIM,XAGWIM.cif,13,104,UniqueIncluded
XAKPAC01,XAKPAC01.cif,20,80,UniqueIncluded
XAPCAS,XAPCAS.cif,9,18,UniqueIncluded
XAXCOQ03,XAXCOQ03.cif,8,32,UniqueIncluded
XEZHAM,XEZHAM.cif,22,176,UniqueIncluded
XEZHEQ,XEZHEQ.cif,22,176,UniqueIncluded
XOGJEK,XOGJEK.cif,15,60,UniqueIncluded
XOPSED,XOPSED.cif,18,144,UniqueIncluded
XORSIJ,XORSIJ.cif,33,264,UniqueIncluded
XOYDIB,XOYDIB.cif,22,88,UniqueIncluded
XOYJED,XOYJED.cif,35,140,UniqueIncluded
XOZFOK,XOZFOK.cif,26,104,UniqueIncluded
XOZNIM,XOZNIM.cif,43,172,UniqueIncluded
XUCKEN,XUCKEN.cif,20,80,UniqueIncluded
XUMBIT,XUMBIT.cif,33,66,UniqueIncluded
XUMCIU,XUMCIU.cif,30,60,UniqueIncluded
XUPPEE,XUPPEE.cif,19,38,UniqueIncluded
YAFHUI,YAFHUI.cif,18,72,UniqueIncluded
YELLIN,YELLIN.cif,19,38,UniqueIncluded
YICFEX,YICFEX.cif,15,120,UniqueIncluded
YICFEX01,YICFEX01.cif,15,60,UniqueIncluded
YIFGAW,YIFGAW.cif,14,28,UniqueIncluded
YINTUK,YINTUK.cif,52,104,UniqueIncluded
YIQBIK,YIQBIK.cif,19,76,UniqueIncluded
YOTTOT,YOTTOT.cif,26,104,UniqueIncluded
ZAPGII,ZAPGII.cif,15,120,UniqueIncluded
ZAQFAB,ZAQFAB.cif,18,72,UniqueIncluded
ZEFPUX,ZEFPUX.cif,15,60,UniqueIncluded
ZOBKAC,ZOBKAC.cif,21,84,UniqueIncluded
ZUCMUI,ZUCMUI.cif,27,108,UniqueIncluded
ZUCNAP,ZUCNAP.cif,30,60,UniqueIncluded
ZUJRII,ZUJRII.cif,23,92,UniqueIncluded
ZUJSIJ,ZUJSIJ.cif,19,38,UniqueIncluded
ZUJWEJ,ZUJWEJ.cif,33,264,UniqueIncluded
ZUNMOM,ZUNMOM.cif,24,48,UniqueIncluded
ZZZBLP02,ZZZBLP02.cif,24,96,UniqueIncluded
ZZZBLP03,ZZZBLP03.cif,24,96,UniqueIncluded
ZZZDQA01,ZZZDQA01.cif,18,36,UniqueIncluded
ZZZKPE03,ZZZKPE03.cif,20,160,UniqueIncluded
ZZZLWW03,ZZZLWW03.cif,16,64,UniqueIncluded
